City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
Busselton,-33.65,115.33,68.16,65,100,12.24,AU,1604121475
Fremont,37.55,-121.99,57.99,71,1,0.43,US,1604121410
Poconé,-16.26,-56.62,71.1,74,100,4.99,BR,1604121607
Hermanus,-34.42,19.23,55.0,79,0,4.0,ZA,1604121607
Butaritari,3.07,172.79,82.45,76,39,19.55,KI,1604121607
Bluff,-46.6,168.33,52.0,87,100,18.01,NZ,1604121476
Jamestown,42.1,-79.24,34.0,92,90,8.05,US,1604121480
Ugoofaaru,5.67,73.0,82.38,69,15,4.25,MV,1604121608
Iona,26.52,-81.96,73.0,78,75,11.41,US,1604121608
Kruisfontein,-34.0,24.73,54.0,89,0,2.53,ZA,1604121608
Mercedes,-34.65,-59.43,51.01,81,0,1.99,AR,1604121609
Katsuura,35.13,140.3,66.99,48,20,8.05,JP,1604121609
Ponta do Sol,32.67,-17.1,66.2,59,0,10.29,PT,1604121609
Porto-Novo,6.5,2.6,80.6,88,40,9.17,BJ,1604121546
Alofi,-19.06,-169.92,73.4,94,70,13.87,NU,1604121609
Manokwari,-0.87,134.08,86.04,69,84,9.46,ID,1604121456
Atuona,-9.8,-139.03,77.77,76,63,11.61,PF,1604121475
Amga,60.9,131.96,5.59,88,94,2.75,RU,1604121610
Ushuaia,-54.8,-68.3,50.0,71,75,12.75,AR,1604121474
Mossamedes,-15.2,12.15,73.31,78,74,6.98,AO,1604121610
Bulgan,48.81,103.53,32.63,72,25,18.12,MN,1604121610
Talnakh,69.49,88.4,14.0,78,75,29.08,RU,1604121611
Monte Patria,-30.69,-70.95,56.25,60,0,0.49,CL,1604121353
Puerto Ayora,-0.74,-90.35,70.0,90,90,5.01,EC,1604121476
Port Blair,11.67,92.75,83.82,75,82,10.56,IN,1604121611
Saskylakh,71.92,114.08,-1.62,83,2,5.39,RU,1604121611
Tarko-Sale,64.92,77.78,31.95,99,100,14.92,RU,1604121612
Hobart,-42.88,147.33,69.01,59,40,16.11,AU,1604121436
Port Elizabeth,-33.92,25.57,59.0,77,20,6.93,ZA,1604121612
